VARIABLES="GloId", "T", "Hw", "Hi"
0 -7.95631141801538622 0 0
1 -7.9563114180160488 0 0
2 -7.95631141801695296 0 0
3 -7.95631141801718922 0 0
4 -7.95631141801741748 0 0
5 -7.95631141801740771 0 0
6 -7.95631141801720787 0 0
7 -7.95631141801701958 0 0
8 -7.95631141801645114 0 0
9 -7.95631141801606923 0 0
10 -7.95631141801518105 0 0
11 -7.95631141801467034 0 0
12 -7.95631141801347663 0 0
13 -7.95631141801278918 0 0
14 -7.95631141801120911 0 0
15 -7.95631141801031916 0 0
16 -7.95631141800835362 0 0
17 -7.95631141800727981 0 0
18 -7.95631141800487018 0 0
19 -7.95631141800353703 0 0
20 -7.9563114180006389 0 0
21 -7.95631141799907571 0 0
22 -7.9563114179956953 0 0
23 -7.95631141799388253 0 0
24 -7.95631141798990438 0 0
25 -7.9563114179877461 0 0
26 -7.95631141798313379 0 0
27 -7.95631141798068242 0 0
28 -7.9563114179754999 0 0
29 -7.9563114179727723 0 0
30 -7.95631141796694585 0 0
31 -7.95631141796385766 0 0
32 -7.95631141795738994 0 0
33 -7.95631141795402019 0 0
34 -7.95631141794698937 0 0
35 -7.95631141794333718 0 0
36 -7.95631141793576369 0 0
37 -7.95631141793185304 0 0
38 -7.95631141792385232 0 0
39 -7.95631141791977026 0 0
40 -7.95631141791144181 0 0
41 -7.95631141790720076 0 0
42 -7.95631141789869467 0 0
43 -7.95631141789443141 0 0
44 -7.95631141788586316 0 0
45 -7.9563114178815626 0 0
46 -7.956311417872997 0 0
47 -7.95631141786873464 0 0
48 -7.95631141786028362 0 0
49 -7.95631141785609408 0 0
50 -7.95631141784775142 0 0
51 -7.95631141784360185 0 0
52 -7.95631141783540397 0 0
53 -7.95631141783135565 0 0
54 -7.95631141782319862 0 0
55 -7.95631141781909879 0 0
56 -7.95631141781087692 0 0
57 -7.9563114178067611 0 0
58 -7.95631141779851614 0 0
59 -7.95631141779439144 0 0
60 -7.95631141778592266 0 0
61 -7.95631141778158213 0 0
62 -7.95631141777283446 0 0
63 -7.9563114177684291 0 0
64 -7.95631141775958195 0 0
65 -7.95631141775514816 0 0
66 -7.9563114177460923 0 0
67 -7.9563114177414791 0 0
68 -7.9563114177322305 0 0
69 -7.95631141772759687 0 0
70 -7.95631141771851169 0 0
71 -7.95631141771405748 0 0
72 -7.95631141770527162 0 0
73 -7.95631141770093997 0 0
74 -7.95631141769239569 0 0
75 -7.95631141768818129 0 0
76 -7.9563114176801184 0 0
77 -7.95631141767625927 0 0
78 -7.95631141766909611 0 0
79 -7.95631141766577343 0 0
80 -7.95631141765927996 0 0
81 -7.9563114176561065 0 0
82 -7.95631141765025429 0 0
83 -7.95631141764756578 0 0
84 -7.95631141764269501 0 0
85 -7.95631141764050298 0 0
86 -7.9563114176357157 0 0
87 -7.95631141763312755 0 0
88 -9.1181525233016405 0 9.34000161748970488e-07
89 -8.99145265696535034 0 3.96521314836092879e-06
90 -8.68990507217925767 0 1.13060665155951692e-05
91 -8.51569704448297315 0 1.5615371420075633e-05
92 -8.17014015747980338 0 2.43608257779852615e-05
93 -7.99930234358669878 0 2.87969798879936223e-05
94 -7.66849184311143883 0 3.74878915007442683e-05
95 -7.50750091353974103 0 4.17427174796647995e-05
96 -7.21353200987091991 0 4.96978262732221813e-05
97 -7.08051060699013579 0 5.33982818254792398e-05
98 -6.81466930792073899 0 6.08292512388043205e-05
